Value,Date,Product Id,ProductID_Contract,Exchange City,Super Region,Time Level,Unit,Source,Sub-Sector,Product Type,Exchange Country,Product Description
-3.4,2021-03-05,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.48,2021-03-04,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.38,2021-01-25,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.38,2021-03-03,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.39,2021-01-22,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.48,2021-03-02,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.49,2021-03-01,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.27,2021-01-20,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.33,2020-12-29,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.28,2021-01-21,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.31,2020-12-28,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.37,2021-01-19,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.39,2021-01-18,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.23,2021-01-15,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.35,2020-12-30,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.33,2020-12-31,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.34,2021-02-25,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.28,2021-01-13,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.44,2021-02-26,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.32,2021-01-14,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.55,2021-02-23,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.41,2021-01-11,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.45,2021-02-24,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.37,2021-01-12,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.26,2020-12-18,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.53,2021-02-22,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.23,2020-12-16,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.19,2020-12-17,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.51,2021-01-08,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.25,2020-12-23,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.34,2020-12-24,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.39,2021-02-18,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
-3.35,2021-01-06,1465,1465_APR22,LONDON,GLOBAL DATA,DAILY,PRICE,INTERCONTINENTAL EXCHANGE - ICE,ENERGY FUTURES PRICES,CRUDE OIL AND REFINED PRODUCTS,UNITED KINGDOM,CRUDE DIFF - WTI 1ST LINE VS BRENT 1ST LINE FUTURE
