Value,Date,Sub-Sector,Super Region,Measure,Frequency,Region,Source,Indicator,Subject
1.4,2014-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.19,1995-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.08,2007-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.84,2004-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.88,1992-12-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.32,2004-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
5.18,2001-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
2.14,2014-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.37,2011-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.07,2011-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
9.8,1992-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
8.71,1995-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.03,2017-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.41,2007-06-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
1.71,2014-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.96,2006-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
4.96,2001-03-31,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
3.77,2009-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
8.75,1994-09-30,INTEREST RATES,GLOBAL DATA,PERCENT PER ANNUM,Q,EURO AREA(16 COUNTRIES),OECD,LONG-TERM INTEREST RATES FORECAST,TOTAL
