Value,Date,Sub-Sector,Super Region,Description,Time Level,Category 2,Seasonal Adjustment,Unit,Source
843.23,2020-08-07,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
664.8,2018-03-07,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
872.17,2021-01-25,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
828.87,2020-08-06,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
669.68,2018-03-06,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
857.94,2021-01-22,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
825.37,2020-08-05,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
672.28,2018-03-09,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
832.49,2020-08-04,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
669.88,2018-03-08,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
864.72,2021-01-20,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
857.9,2021-01-21,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
668.75,2018-03-01,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
822.34,2020-08-03,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
665.85,2018-03-02,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
818.58,2019-07-22,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
677.91,2018-03-05,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
824.3,2019-07-12,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
826.25,2019-07-15,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
824.58,2019-07-17,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
821.47,2019-07-16,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
820.08,2019-07-19,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
831.33,2019-07-18,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
857.45,2021-01-19,STOCK MARKET INDICATORS & INDEX,UNITED STATES,DOW JONES UTILITY AVERAGE,DAILY,FINANCIAL INDICATORS,NOT SEASONALLY ADJUSTED,INDEX,FEDERAL RESERVE ECONOMIC DATA-FRED
