,Date,Apple Mobility Present,AACHEN_WALKING,HALLAND COUNTY_DRIVING,HOKKAIDO (PREFECTURE)_WALKING,HYOGO PREFECTURE_WALKING,ILLINOIS_WALKING,ISHIKAWA PREFECTURE_TRANSIT,ALBANY_WALKING,ALBANY_DRIVING,ALLENTOWN_TRANSIT,WILLIAMSBURG CITY_DRIVING,MADISON COUNTY_DRIVING,MARION COUNTY_DRIVING,REDWOOD COUNTY_DRIVING,RENO COUNTY_DRIVING,RICHLAND COUNTY_DRIVING,RICHMOND COUNTY_DRIVING,HAYWOOD COUNTY_DRIVING,HENDERSON COUNTY_DRIVING,HENRY COUNTY_DRIVING,HERKIMER COUNTY_DRIVING,MECKLENBURG COUNTY_WALKING,MERCED COUNTY_WALKING,MERCER COUNTY_DRIVING,COMAL COUNTY_DRIVING,CONTRA COSTA COUNTY_TRANSIT,CONTRA COSTA COUNTY_DRIVING,COOK COUNTY_TRANSIT,COSHOCTON COUNTY_DRIVING,COWLITZ COUNTY_DRIVING,CRAVEN COUNTY_DRIVING,HINDS COUNTY_DRIVING,HONOLULU COUNTY_WALKING,HONOLULU COUNTY_DRIVING,HOPEWELL CITY_DRIVING,ALAMEDA COUNTY_DRIVING,ALBANY COUNTY_DRIVING,ALBEMARLE COUNTY_WALKING,ALEXANDRIA CITY_WALKING,CREEK COUNTY_DRIVING,CUMBERLAND COUNTY_DRIVING,CUYAHOGA COUNTY_TRANSIT,CUYAHOGA COUNTY_DRIVING,BEXAR COUNTY_DRIVING,BIBB COUNTY_DRIVING,BLAINE COUNTY_DRIVING,DURHAM COUNTY_DRIVING,EAGLE COUNTY_WALKING,EDDY COUNTY_DRIVING,EFFINGHAM COUNTY_DRIVING,EL PASO COUNTY_TRANSIT,ELLIS COUNTY_DRIVING,CARROLL COUNTY_DRIVING,CARSON COUNTY_DRIVING,CASS COUNTY_DRIVING,CHAMBERS COUNTY_DRIVING,CHAMPAIGN COUNTY_DRIVING,CHARLOTTE COUNTY_WALKING,LOS ANGELES_WALKING,LOUISVILLE_DRIVING,LYON_DRIVING,MADISON_WALKING,MANCHESTER_DRIVING,MANILA_TRANSIT,MANNHEIM_WALKING,MIAMI_WALKING,MIAMI_TRANSIT,MIAMI_DRIVING,MILWAUKEE_WALKING,MILWAUKEE_TRANSIT,MINNEAPOLIS_WALKING,MINNEAPOLIS_TRANSIT,MITO_TRANSIT,AMSTERDAM_TRANSIT,ANCHORAGE_WALKING,ANNAPOLIS_WALKING,BANGKOK_DRIVING,BELFAST_DRIVING,BELO HORIZONTE_WALKING,BERGAMO_WALKING,BIRMINGHAM_DRIVING,MARLBOROUGH REGION_DRIVING,MICHIGAN_WALKING,MICHOAC+ÍN_DRIVING,MIDI-PYR+¬N+¬ES REGION_WALKING,MIDI-PYR+¬N+¬ES REGION_TRANSIT,UPPER NORMANDY REGION_DRIVING,UUSIMAA_TRANSIT,RIVERSIDE COUNTY_TRANSIT,RUTHERFORD COUNTY_DRIVING,WILLIAMSON COUNTY_WALKING
0,2020-01-13,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,2020-01-14,1,98.53,101.83,98.35,90.54,105.13,102.23,108.36,102.35,110.46,106.09,108.05,97.22,90.74,101.8,80.83,113.03,106.69,99.33,109.43,96.07,105.04,85.61,103.63,100.2,103.27,104.51,100.89,106.05,93.38,109.81,97.5,95.81,102.59,97.2,102.85,115.84,75.35,105.19,108.09,108.22,98.98,105.09,102.25,102.54,98.5,106.1,83.75,106.56,104.41,114.46,114.36,115.02,104.19,103.67,151.13,112.33,105.05,105.72,105.27,104.57,109.97,101.64,103.99,106.14,100.61,99.91,103.67,138.26,109.62,106.28,97.62,99.73,100.27,98.8,114.73,100.97,108.49,106.09,105.83,104.03,110.19,104.44,97.18,113.7,94.65,105.37,102.74,98.61,101.32,95.46
2,2020-01-15,1,97.68,102.25,102.06,94.65,106.29,102.36,113.36,107.35,105.54,116.34,102.31,96.84,92.53,103.6,68.96,108.57,112.74,107.16,107.6,102.16,112.18,87.06,104.23,102.99,100.21,104.75,100.5,109.51,100.27,105.58,104.87,94.36,109.95,105.2,106.26,117.04,54.51,109.19,102.8,105.87,96.39,107.12,104.12,107.35,91.19,107.38,87.12,106.59,97.72,110.76,109.61,114.63,106.92,110.55,116.82,113.58,113.74,111.35,107.02,103.67,111.76,108.81,109.12,108.32,103.83,100.02,105.71,109.77,101.29,106.04,91.25,100.13,101.25,98.83,129.78,104.43,111.95,111.26,107.01,102.98,114.65,101.2,95.85,124.49,108.47,109.45,101.04,105.45,102.02,95.93
3,2020-01-16,1,100.06,97.21,108.0,101.04,104.55,110.15,107.52,105.54,98.02,121.84,106.14,105.24,99.72,100.44,99.79,120.63,120.74,112.23,108.84,95.02,113.12,82.56,109.06,105.63,93.3,102.6,103.69,109.57,110.04,114.63,112.06,97.75,108.24,108.56,107.14,117.96,53.26,97.38,114.91,117.4,96.22,106.87,108.26,118.82,77.22,109.48,125.03,104.03,106.02,99.05,130.5,120.64,94.85,104.82,114.04,105.74,110.17,111.68,108.04,107.99,109.2,103.74,105.82,109.72,107.84,101.38,109.05,111.61,100.28,111.91,90.3,105.97,103.15,104.05,127.15,104.32,124.1,105.67,107.54,103.8,105.56,102.56,99.06,132.37,103.55,103.25,104.29,102.35,108.57,97.93
4,2020-01-17,1,107.12,111.39,132.37,146.88,124.83,135.41,129.43,128.97,108.58,153.81,180.08,143.91,50.19,99.74,68.53,156.97,158.86,141.22,127.85,120.41,156.75,111.75,119.46,128.66,109.91,121.76,120.17,126.25,153.18,130.89,129.48,113.03,122.02,127.11,124.52,191.98,54.36,119.44,126.36,151.14,97.94,126.04,124.97,140.52,69.06,129.74,153.6,106.14,115.0,123.32,129.59,166.96,125.36,119.02,167.0,122.11,136.7,134.45,122.11,114.34,132.02,106.3,110.34,120.64,124.99,99.07,126.28,131.12,107.84,102.66,83.78,119.72,121.69,117.89,139.58,133.66,125.7,98.82,128.18,105.29,101.94,129.73,111.09,123.6,112.89,113.73,107.22,105.89,125.29,117.67
5,2020-01-18,1,123.64,122.46,130.15,151.42,138.02,143.45,102.75,88.28,69.07,188.62,157.61,120.01,34.31,123.79,33.69,140.77,143.97,123.43,119.02,106.76,186.05,102.69,91.81,136.88,96.34,109.43,99.46,94.75,140.52,119.51,109.18,118.04,119.72,119.79,114.0,203.18,39.08,108.39,129.96,114.8,71.75,109.37,121.39,125.49,80.87,115.37,193.98,95.19,107.95,98.11,137.11,125.48,116.91,94.01,154.85,128.69,129.7,154.54,113.64,116.08,157.83,98.2,106.14,148.96,141.41,90.66,114.06,155.36,89.12,115.3,70.92,129.27,130.91,103.23,159.3,126.95,121.01,91.63,144.17,102.57,99.97,105.83,116.94,146.45,109.39,116.3,106.04,83.23,117.88,142.45
6,2020-01-19,1,86.13,123.73,97.82,104.94,93.81,106.06,87.13,82.76,70.7,175.36,142.55,96.38,68.71,89.34,78.25,105.43,111.96,99.25,82.13,100.36,116.8,86.49,85.42,104.23,75.53,82.13,75.84,105.19,111.59,84.99,77.96,103.54,98.1,91.16,85.41,137.52,36.96,105.77,93.71,94.07,55.75,81.84,91.16,92.48,52.87,86.05,166.82,71.24,96.63,79.86,119.15,109.98,92.43,86.44,115.66,102.17,82.76,116.52,83.0,86.96,129.98,83.58,106.57,81.96,105.45,77.52,86.67,103.63,77.75,91.1,68.0,100.8,113.07,80.29,131.3,114.27,81.15,49.82,106.53,85.85,113.16,78.04,91.46,77.26,99.45,96.09,99.51,74.24,87.31,92.39
7,2020-01-20,1,108.47,102.38,98.07,96.68,97.23,101.27,102.42,102.46,96.24,170.45,150.28,110.02,97.26,104.21,87.27,128.0,124.35,117.07,109.1,122.29,104.89,94.2,95.61,117.01,93.62,95.18,93.6,101.54,133.17,109.59,96.16,100.02,100.23,105.52,98.52,124.43,44.29,93.96,109.09,126.91,77.33,95.9,96.64,111.62,88.84,98.79,108.16,99.62,110.11,116.87,133.02,125.0,96.54,98.85,133.47,92.97,109.43,109.02,93.88,97.6,186.49,97.34,109.3,103.62,102.91,91.11,98.67,111.05,99.08,116.09,89.64,98.14,100.35,83.59,111.9,99.18,105.81,99.68,109.29,104.19,97.38,90.81,90.09,99.49,98.03,99.71,107.12,85.66,103.57,110.32
8,2020-01-21,1,96.5,104.14,104.53,98.75,99.4,103.22,111.77,107.77,110.26,156.44,105.9,100.54,89.41,107.15,77.04,113.68,99.61,103.74,101.34,103.16,112.57,99.02,98.11,103.89,107.02,103.59,96.8,108.59,110.93,113.67,101.18,94.47,104.27,102.8,108.8,111.4,48.24,87.37,103.33,104.96,97.69,102.03,102.74,100.89,110.18,103.55,85.71,108.39,93.94,136.14,111.98,107.46,95.57,97.68,118.54,104.96,117.37,107.66,98.54,99.29,357.26,111.71,110.96,103.91,96.86,98.34,104.95,113.57,115.99,133.3,108.28,94.38,100.09,104.4,116.63,96.88,111.29,102.99,101.18,107.52,98.97,93.77,88.01,110.25,95.3,98.94,102.81,101.86,108.39,92.11
9,2020-01-22,1,93.88,105.06,106.88,97.66,103.72,102.07,129.99,107.04,112.75,134.31,101.2,89.71,86.29,80.59,80.26,114.03,102.0,108.55,103.95,107.17,105.2,102.85,99.53,96.17,106.45,108.26,98.53,96.79,112.22,105.88,100.49,94.63,103.65,96.64,110.27,109.45,46.45,97.83,89.07,108.49,94.5,102.48,102.39,104.41,88.77,105.73,94.32,107.95,103.83,121.77,101.26,102.42,98.95,94.7,114.72,100.75,112.26,110.91,103.23,101.61,322.96,107.53,117.67,100.15,94.17,90.83,102.79,112.06,112.61,134.12,105.33,92.66,99.79,99.9,119.59,97.27,117.19,100.11,109.82,106.28,98.35,95.19,88.32,106.52,103.82,100.94,104.16,99.19,107.27,86.61
