,Date,Financial Statement Present,NET PROFIT MARGIN,GROSS MARGIN,INTEREST EXPENSE,REVENUE,EBITDA MARGIN,DIVIDEND PER SHARE,INCOME TAX EXPENSE,1465_APR22,365_APR22,22312_Q2 21,4173_APR22,425_OCT22,3432_FEB22,3970_APR22,491_MAY22,1887_Q4 21,95_APR22,5740_APR22,2527_SEP21,1886_APR22,1753_APR22,5739_APR22,23416_APR22,5629_APR22,5028_APR22,10_APR22,21774_APR22,19237_APR22,4362_APR22,19327_APR22,1885_APR22,23493_SEP21,2572_APR22,5506_SEP21,19241_APR22,18399_APR22,3190_APR22,15544_APR22,5038_APR22,23612_APR22,3976_APR22,3253_APR22,3563_APR22,25743_APR22,1887_APR22,4075_APR22,4361_APR22,4177_APR22,2571_APR22,5631_APR22,5039_APR22,23414_APR22,4987_AUG21,3558_APR22,2537_SEP21,4178_Q3 21,19082_APR22,18410_APR22,15542_APR22,5500_SEP21,2536_SEP21,2532_SEP21,4360_APR22,3193_APR22,5264_APR22,124_APR22,1743_APR22,4671_APR22,3072_APR22,2529_SEP21,22317_MAR22,4672_APR22,5034_APR22,23607_APR22,3442_APR22,23776_APR22,2466_APR22,20096_APR22,1756_AUG21,13_APR22,1884_APR22,3971_APR22,5509_SEP21,5040_APR22,2533_SEP21,23490_SEP21,5272_APR22,3254_APR22,5729_APR22,19239_APR22,5037_APR22,22311_DEC22,3441_APR22,22_APR22,491_SEP22,2922_APR22,5278_APR22,19474_APR22,19465_APR22,15549_APR22,19087_APR22,18601_APR22,3090_APR22,23789_APR22,21781_APR22,4354_APR22,21766_APR22
0,2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
