,Date,Financial Statement Present,NET PROFIT MARGIN,GROSS MARGIN,INTEREST EXPENSE,REVENUE,EBITDA MARGIN,DIVIDEND PER SHARE,INCOME TAX EXPENSE
0,2009-06-30,1,0.05,0.31,343000000.0,74457000000.0,0.15,0.42,3571000000.0
1,2009-07-01,0,,,,,,,
2,2009-07-02,0,,,,,,,
3,2009-07-03,0,,,,,,,
4,2009-07-04,0,,,,,,,
5,2009-07-05,0,,,,,,,
6,2009-07-06,0,,,,,,,
7,2009-07-07,0,,,,,,,
8,2009-07-08,0,,,,,,,
9,2009-07-09,0,,,,,,,
10,2009-07-10,0,,,,,,,
11,2009-07-11,0,,,,,,,
12,2009-07-12,0,,,,,,,
13,2009-07-13,0,,,,,,,
14,2009-07-14,0,,,,,,,
15,2009-07-15,0,,,,,,,
16,2009-07-16,0,,,,,,,
17,2009-07-17,0,,,,,,,
18,2009-07-18,0,,,,,,,
19,2009-07-19,0,,,,,,,
20,2009-07-20,0,,,,,,,
21,2009-07-21,0,,,,,,,
22,2009-07-22,0,,,,,,,
23,2009-07-23,0,,,,,,,
24,2009-07-24,0,,,,,,,
25,2009-07-25,0,,,,,,,
26,2009-07-26,0,,,,,,,
27,2009-07-27,0,,,,,,,
28,2009-07-28,0,,,,,,,
29,2009-07-29,0,,,,,,,
30,2009-07-30,0,,,,,,,
31,2009-07-31,0,,,,,,,
32,2009-08-01,0,,,,,,,
33,2009-08-02,0,,,,,,,
34,2009-08-03,0,,,,,,,
35,2009-08-04,0,,,,,,,
36,2009-08-05,0,,,,,,,
37,2009-08-06,0,,,,,,,
38,2009-08-07,0,,,,,,,
39,2009-08-08,0,,,,,,,
40,2009-08-09,0,,,,,,,
41,2009-08-10,0,,,,,,,
42,2009-08-11,0,,,,,,,
43,2009-08-12,0,,,,,,,
44,2009-08-13,0,,,,,,,
45,2009-08-14,0,,,,,,,
46,2009-08-15,0,,,,,,,
47,2009-08-16,0,,,,,,,
48,2009-08-17,0,,,,,,,
49,2009-08-18,0,,,,,,,
50,2009-08-19,0,,,,,,,
51,2009-08-20,0,,,,,,,
52,2009-08-21,0,,,,,,,
53,2009-08-22,0,,,,,,,
54,2009-08-23,0,,,,,,,
55,2009-08-24,0,,,,,,,
56,2009-08-25,0,,,,,,,
57,2009-08-26,0,,,,,,,
58,2009-08-27,0,,,,,,,
59,2009-08-28,0,,,,,,,
60,2009-08-29,0,,,,,,,
61,2009-08-30,0,,,,,,,
62,2009-08-31,0,,,,,,,
63,2009-09-01,0,,,,,,,
64,2009-09-02,0,,,,,,,
65,2009-09-03,0,,,,,,,
66,2009-09-04,0,,,,,,,
67,2009-09-05,0,,,,,,,
68,2009-09-06,0,,,,,,,
69,2009-09-07,0,,,,,,,
70,2009-09-08,0,,,,,,,
71,2009-09-09,0,,,,,,,
72,2009-09-10,0,,,,,,,
73,2009-09-11,0,,,,,,,
74,2009-09-12,0,,,,,,,
75,2009-09-13,0,,,,,,,
76,2009-09-14,0,,,,,,,
77,2009-09-15,0,,,,,,,
78,2009-09-16,0,,,,,,,
79,2009-09-17,0,,,,,,,
80,2009-09-18,0,,,,,,,
81,2009-09-19,0,,,,,,,
82,2009-09-20,0,,,,,,,
83,2009-09-21,0,,,,,,,
84,2009-09-22,0,,,,,,,
85,2009-09-23,0,,,,,,,
86,2009-09-24,0,,,,,,,
87,2009-09-25,0,,,,,,,
88,2009-09-26,0,,,,,,,
89,2009-09-27,0,,,,,,,
90,2009-09-28,0,,,,,,,
91,2009-09-29,0,,,,,,,
92,2009-09-30,1,0.06,0.38,62000000.0,80585000000.0,0.15,0.42,4333000000.0
93,2009-10-01,0,,,,,,,
94,2009-10-02,0,,,,,,,
95,2009-10-03,0,,,,,,,
96,2009-10-04,0,,,,,,,
97,2009-10-05,0,,,,,,,
98,2009-10-06,0,,,,,,,
99,2009-10-07,0,,,,,,,
100,2009-10-08,0,,,,,,,
101,2009-10-09,0,,,,,,,
102,2009-10-10,0,,,,,,,
103,2009-10-11,0,,,,,,,
104,2009-10-12,0,,,,,,,
105,2009-10-13,0,,,,,,,
106,2009-10-14,0,,,,,,,
107,2009-10-15,0,,,,,,,
108,2009-10-16,0,,,,,,,
109,2009-10-17,0,,,,,,,
110,2009-10-18,0,,,,,,,
111,2009-10-19,0,,,,,,,
112,2009-10-20,0,,,,,,,
113,2009-10-21,0,,,,,,,
114,2009-10-22,0,,,,,,,
115,2009-10-23,0,,,,,,,
116,2009-10-24,0,,,,,,,
117,2009-10-25,0,,,,,,,
118,2009-10-26,0,,,,,,,
119,2009-10-27,0,,,,,,,
120,2009-10-28,0,,,,,,,
121,2009-10-29,0,,,,,,,
122,2009-10-30,0,,,,,,,
123,2009-10-31,0,,,,,,,
124,2009-11-01,0,,,,,,,
125,2009-11-02,0,,,,,,,
126,2009-11-03,0,,,,,,,
127,2009-11-04,0,,,,,,,
128,2009-11-05,0,,,,,,,
129,2009-11-06,0,,,,,,,
130,2009-11-07,0,,,,,,,
131,2009-11-08,0,,,,,,,
132,2009-11-09,0,,,,,,,
133,2009-11-10,0,,,,,,,
134,2009-11-11,0,,,,,,,
135,2009-11-12,0,,,,,,,
136,2009-11-13,0,,,,,,,
137,2009-11-14,0,,,,,,,
138,2009-11-15,0,,,,,,,
139,2009-11-16,0,,,,,,,
140,2009-11-17,0,,,,,,,
141,2009-11-18,0,,,,,,,
142,2009-11-19,0,,,,,,,
143,2009-11-20,0,,,,,,,
144,2009-11-21,0,,,,,,,
145,2009-11-22,0,,,,,,,
146,2009-11-23,0,,,,,,,
147,2009-11-24,0,,,,,,,
148,2009-11-25,0,,,,,,,
149,2009-11-26,0,,,,,,,
150,2009-11-27,0,,,,,,,
151,2009-11-28,0,,,,,,,
152,2009-11-29,0,,,,,,,
153,2009-11-30,0,,,,,,,
154,2009-12-01,0,,,,,,,
155,2009-12-02,0,,,,,,,
156,2009-12-03,0,,,,,,,
157,2009-12-04,0,,,,,,,
158,2009-12-05,0,,,,,,,
159,2009-12-06,0,,,,,,,
160,2009-12-07,0,,,,,,,
161,2009-12-08,0,,,,,,,
162,2009-12-09,0,,,,,,,
163,2009-12-10,0,,,,,,,
164,2009-12-11,0,,,,,,,
165,2009-12-12,0,,,,,,,
166,2009-12-13,0,,,,,,,
167,2009-12-14,0,,,,,,,
168,2009-12-15,0,,,,,,,
169,2009-12-16,0,,,,,,,
170,2009-12-17,0,,,,,,,
171,2009-12-18,0,,,,,,,
172,2009-12-19,0,,,,,,,
173,2009-12-20,0,,,,,,,
174,2009-12-21,0,,,,,,,
175,2009-12-22,0,,,,,,,
176,2009-12-23,0,,,,,,,
177,2009-12-24,0,,,,,,,
178,2009-12-25,0,,,,,,,
179,2009-12-26,0,,,,,,,
180,2009-12-27,0,,,,,,,
181,2009-12-28,0,,,,,,,
182,2009-12-29,0,,,,,,,
183,2009-12-30,0,,,,,,,
184,2009-12-31,1,0.07,0.37,36000000.0,87426000000.0,0.15,0.42,4067000000.0
185,2010-01-01,0,,,,,,,
186,2010-01-02,0,,,,,,,
187,2010-01-03,0,,,,,,,
188,2010-01-04,0,,,,,,,
189,2010-01-05,0,,,,,,,
190,2010-01-06,0,,,,,,,
191,2010-01-07,0,,,,,,,
192,2010-01-08,0,,,,,,,
193,2010-01-09,0,,,,,,,
194,2010-01-10,0,,,,,,,
195,2010-01-11,0,,,,,,,
196,2010-01-12,0,,,,,,,
197,2010-01-13,0,,,,,,,
198,2010-01-14,0,,,,,,,
199,2010-01-15,0,,,,,,,
200,2010-01-16,0,,,,,,,
201,2010-01-17,0,,,,,,,
202,2010-01-18,0,,,,,,,
203,2010-01-19,0,,,,,,,
204,2010-01-20,0,,,,,,,
205,2010-01-21,0,,,,,,,
206,2010-01-22,0,,,,,,,
207,2010-01-23,0,,,,,,,
208,2010-01-24,0,,,,,,,
209,2010-01-25,0,,,,,,,
210,2010-01-26,0,,,,,,,
211,2010-01-27,0,,,,,,,
212,2010-01-28,0,,,,,,,
213,2010-01-29,0,,,,,,,
214,2010-01-30,0,,,,,,,
215,2010-01-31,0,,,,,,,
216,2010-02-01,0,,,,,,,
217,2010-02-02,0,,,,,,,
218,2010-02-03,0,,,,,,,
219,2010-02-04,0,,,,,,,
220,2010-02-05,0,,,,,,,
221,2010-02-06,0,,,,,,,
222,2010-02-07,0,,,,,,,
223,2010-02-08,0,,,,,,,
224,2010-02-09,0,,,,,,,
225,2010-02-10,0,,,,,,,
226,2010-02-11,0,,,,,,,
227,2010-02-12,0,,,,,,,
228,2010-02-13,0,,,,,,,
229,2010-02-14,0,,,,,,,
230,2010-02-15,0,,,,,,,
231,2010-02-16,0,,,,,,,
232,2010-02-17,0,,,,,,,
233,2010-02-18,0,,,,,,,
234,2010-02-19,0,,,,,,,
235,2010-02-20,0,,,,,,,
236,2010-02-21,0,,,,,,,
237,2010-02-22,0,,,,,,,
238,2010-02-23,0,,,,,,,
239,2010-02-24,0,,,,,,,
240,2010-02-25,0,,,,,,,
241,2010-02-26,0,,,,,,,
242,2010-02-27,0,,,,,,,
243,2010-02-28,0,,,,,,,
244,2010-03-01,0,,,,,,,
245,2010-03-02,0,,,,,,,
246,2010-03-03,0,,,,,,,
247,2010-03-04,0,,,,,,,
248,2010-03-05,0,,,,,,,
249,2010-03-06,0,,,,,,,
250,2010-03-07,0,,,,,,,
251,2010-03-08,0,,,,,,,
252,2010-03-09,0,,,,,,,
253,2010-03-10,0,,,,,,,
254,2010-03-11,0,,,,,,,
255,2010-03-12,0,,,,,,,
256,2010-03-13,0,,,,,,,
257,2010-03-14,0,,,,,,,
258,2010-03-15,0,,,,,,,
259,2010-03-16,0,,,,,,,
260,2010-03-17,0,,,,,,,
261,2010-03-18,0,,,,,,,
262,2010-03-19,0,,,,,,,
263,2010-03-20,0,,,,,,,
264,2010-03-21,0,,,,,,,
265,2010-03-22,0,,,,,,,
266,2010-03-23,0,,,,,,,
267,2010-03-24,0,,,,,,,
268,2010-03-25,0,,,,,,,
269,2010-03-26,0,,,,,,,
270,2010-03-27,0,,,,,,,
271,2010-03-28,0,,,,,,,
272,2010-03-29,0,,,,,,,
273,2010-03-30,0,,,,,,,
274,2010-03-31,1,0.07,0.31,55000000.0,90251000000.0,0.17,,5493000000.0
275,2010-04-01,0,,,,,,,
276,2010-04-02,0,,,,,,,
277,2010-04-03,0,,,,,,,
278,2010-04-04,0,,,,,,,
279,2010-04-05,0,,,,,,,
280,2010-04-06,0,,,,,,,
281,2010-04-07,0,,,,,,,
282,2010-04-08,0,,,,,,,
283,2010-04-09,0,,,,,,,
284,2010-04-10,0,,,,,,,
285,2010-04-11,0,,,,,,,
286,2010-04-12,0,,,,,,,
287,2010-04-13,0,,,,,,,
288,2010-04-14,0,,,,,,,
