,Date,Interest Rate Present,EURO AREA(16 COUNTRIES)_LONG-TERM INTEREST RATES FORECAST,EURO AREA(16 COUNTRIES)_SHORT-TERM INTEREST RATES FORECAST,EURO AREA(16 COUNTRIES)_LONG-TERM INTEREST RATES,EURO AREA(16 COUNTRIES)_SHORT-TERM INTEREST RATES,CHINA_LONG-TERM INTEREST RATES FORECAST,CHINA_SHORT-TERM INTEREST RATES FORECAST,CHINA_LONG-TERM INTEREST RATES,CHINA_SHORT-TERM INTEREST RATES,INDIA_LONG-TERM INTEREST RATES FORECAST,INDIA_SHORT-TERM INTEREST RATES FORECAST,INDIA_LONG-TERM INTEREST RATES,INDIA_SHORT-TERM INTEREST RATES,UNITED STATES_LONG-TERM INTEREST RATES FORECAST,UNITED STATES_SHORT-TERM INTEREST RATES FORECAST,UNITED STATES_LONG-TERM INTEREST RATES,UNITED STATES_SHORT-TERM INTEREST RATES,EURO AREA(17 COUNTRIES)_LONG-TERM INTEREST RATES FORECAST,EURO AREA(17 COUNTRIES)_SHORT-TERM INTEREST RATES FORECAST,EURO AREA(17 COUNTRIES)_LONG-TERM INTEREST RATES,EURO AREA(17 COUNTRIES)_SHORT-TERM INTEREST RATES,EURO AREA(19 COUNTRIES)_LONG-TERM INTEREST RATES FORECAST,EURO AREA(19 COUNTRIES)_SHORT-TERM INTEREST RATES FORECAST,EURO AREA(19 COUNTRIES)_LONG-TERM INTEREST RATES,EURO AREA(19 COUNTRIES)_SHORT-TERM INTEREST RATES,RUSSIA_LONG-TERM INTEREST RATES FORECAST,RUSSIA_SHORT-TERM INTEREST RATES FORECAST,RUSSIA_LONG-TERM INTEREST RATES,RUSSIA_SHORT-TERM INTEREST RATES
0,1953-06-30,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1,1953-07-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1953-07-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1953-07-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1953-07-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1953-07-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1953-07-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1953-07-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1953-07-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1953-07-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1953-07-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1953-07-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1953-07-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1953-07-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1953-07-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1953-07-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1953-07-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1953-07-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1953-07-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1953-07-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
