,Date,Stock Indicator Present,DOW JONES UTILITY AVERAGE,S&P 500,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE
0,2017-04-04,1,699.89,2360.16,7161.79,20689.24,9100.67
1,2017-04-05,1,704.17,2352.95,7159.99,20648.15,9095.98
2,2017-04-06,1,703.03,2357.49,7169.26,20662.95,9134.17
3,2017-04-07,1,699.22,2355.54,7155.14,20656.1,9104.81
4,2017-04-08,0,699.22,2355.54,7155.14,20656.1,9104.81
5,2017-04-09,0,699.22,2355.54,7155.14,20656.1,9104.81
6,2017-04-10,1,700.52,2357.16,7173.79,20658.02,9178.7
7,2017-04-11,1,700.34,2353.78,7162.8,20651.3,9135.58
8,2017-04-12,1,705.35,2344.93,7124.03,20591.86,8971.84
9,2017-04-13,1,703.15,2328.95,7072.31,20453.25,8874.56
10,2017-04-14,0,703.15,2328.95,7072.31,20453.25,8874.56
11,2017-04-15,0,703.15,2328.95,7072.31,20453.25,8874.56
12,2017-04-16,0,703.15,2328.95,7072.31,20453.25,8874.56
13,2017-04-17,1,706.17,2349.01,7138.17,20636.92,8990.42
14,2017-04-18,1,707.8,2342.19,7106.41,20523.28,8933.1
15,2017-04-19,1,703.98,2338.17,7086.42,20404.49,8976.35
16,2017-04-20,1,701.2,2355.84,7148.11,20578.71,9126.13
17,2017-04-21,1,706.01,2348.69,7151.86,20547.76,9133.81
18,2017-04-22,0,706.01,2348.69,7151.86,20547.76,9133.81
19,2017-04-23,0,706.01,2348.69,7151.86,20547.76,9133.81
20,2017-04-24,1,709.03,2374.15,7231.27,20763.89,9282.99
21,2017-04-25,1,708.42,2388.61,7267.92,20996.12,9249.42
22,2017-04-26,1,705.17,2387.45,7240.61,20975.09,9167.74
23,2017-04-27,1,707.58,2388.77,7251.56,20981.33,9193.99
24,2017-04-28,1,704.35,2384.2,7217.27,20940.51,9097.63
25,2017-04-29,0,704.35,2384.2,7217.27,20940.51,9097.63
26,2017-04-30,0,704.35,2384.2,7217.27,20940.51,9097.63
27,2017-05-01,1,699.58,2388.33,7198.05,20913.46,9070.15
28,2017-05-02,1,701.68,2391.17,7226.88,20949.89,9153.97
29,2017-05-03,1,697.54,2388.13,7216.96,20957.9,9133.14
30,2017-05-04,1,698.97,2389.52,7219.2,20951.47,9138.13
31,2017-05-05,1,703.02,2399.29,7248.01,21006.94,9189.97
32,2017-05-06,0,703.02,2399.29,7248.01,21006.94,9189.97
33,2017-05-07,0,703.02,2399.29,7248.01,21006.94,9189.97
34,2017-05-08,1,702.22,2399.38,7226.55,21012.28,9092.81
35,2017-05-09,1,695.93,2396.92,7217.1,20975.78,9130.28
36,2017-05-10,1,696.9,2399.63,7199.78,20943.11,9072.35
37,2017-05-11,1,696.8,2394.44,7187.55,20919.42,9037.99
38,2017-05-12,1,700.29,2390.9,7180.94,20896.61,9001.14
39,2017-05-13,0,700.29,2390.9,7180.94,20896.61,9001.14
40,2017-05-14,0,700.29,2390.9,7180.94,20896.61,9001.14
41,2017-05-15,1,702.48,2402.32,7215.54,20981.94,9067.23
42,2017-05-16,1,697.21,2400.67,7205.32,20979.75,9062.85
43,2017-05-17,1,698.24,2357.03,7074.06,20606.93,8783.74
44,2017-05-18,1,700.7,2365.72,7096.64,20663.02,8818.58
45,2017-05-19,1,703.27,2381.73,7141.62,20804.84,8879.19
46,2017-05-20,0,703.27,2381.73,7141.62,20804.84,8879.19
47,2017-05-21,0,703.27,2381.73,7141.62,20804.84,8879.19
48,2017-05-22,1,709.21,2394.02,7187.6,20894.83,8964.65
49,2017-05-23,1,710.54,2398.42,7207.98,20937.91,9009.67
50,2017-05-24,1,715.12,2404.39,7232.89,21012.42,9022.52
51,2017-05-25,1,720.3,2415.07,7286.01,21082.95,9163.84
52,2017-05-26,1,720.22,2415.82,7288.05,21080.28,9176.2
53,2017-05-27,0,720.22,2415.82,7288.05,21080.28,9176.2
54,2017-05-28,0,720.22,2415.82,7288.05,21080.28,9176.2
55,2017-05-29,0,720.22,2415.82,7288.05,21080.28,9176.2
56,2017-05-30,1,722.73,2412.91,7279.68,21029.47,9163.66
57,2017-05-31,1,726.62,2411.8,7282.22,21008.65,9163.9
58,2017-06-01,1,732.06,2430.06,7342.31,21144.18,9277.44
59,2017-06-02,1,732.63,2439.07,7367.12,21206.29,9331.72
60,2017-06-03,0,732.63,2439.07,7367.12,21206.29,9331.72
61,2017-06-04,0,732.63,2439.07,7367.12,21206.29,9331.72
62,2017-06-05,1,729.26,2436.1,7351.81,21184.04,9307.17
63,2017-06-06,1,728.11,2429.33,7333.48,21136.23,9274.4
64,2017-06-07,1,730.87,2433.14,7358.47,21173.69,9334.58
65,2017-06-08,1,724.77,2433.79,7349.42,21182.53,9332.14
66,2017-06-09,1,724.85,2431.77,7365.95,21271.97,9327.88
67,2017-06-10,0,724.85,2431.77,7365.95,21271.97,9327.88
68,2017-06-11,0,724.85,2431.77,7365.95,21271.97,9327.88
69,2017-06-12,1,722.9,2429.39,7368.92,21235.67,9388.79
70,2017-06-13,1,723.94,2440.35,7403.42,21328.47,9456.65
71,2017-06-14,1,729.4,2437.92,7406.39,21374.56,9387.33
72,2017-06-15,1,734.3,2432.46,7416.49,21359.9,9409.01
73,2017-06-16,1,737.51,2433.15,7427.7,21384.28,9414.07
74,2017-06-17,0,737.51,2433.15,7427.7,21384.28,9414.07
75,2017-06-18,0,737.51,2433.15,7427.7,21384.28,9414.07
76,2017-06-19,1,734.44,2453.46,7464.2,21528.99,9476.63
77,2017-06-20,1,734.68,2437.03,7414.99,21467.14,9303.82
78,2017-06-21,1,729.86,2435.61,7393.41,21410.03,9292.61
79,2017-06-22,1,727.44,2434.5,7392.82,21397.29,9319.84
80,2017-06-23,1,725.27,2438.3,7403.67,21394.76,9388.67
81,2017-06-24,0,725.27,2438.3,7403.67,21394.76,9388.67
82,2017-06-25,0,725.27,2438.3,7403.67,21394.76,9388.67
83,2017-06-26,1,730.57,2439.07,7427.05,21409.55,9442.03
84,2017-06-27,1,720.66,2419.38,7378.58,21310.66,9383.67
85,2017-06-28,1,713.31,2440.69,7423.27,21454.61,9517.44
86,2017-06-29,1,707.39,2419.7,7373.06,21287.03,9481.44
87,2017-06-30,1,706.91,2423.41,7402.3,21349.63,9563.73
88,2017-07-01,0,706.91,2423.41,7402.3,21349.63,9563.73
89,2017-07-02,0,706.91,2423.41,7402.3,21349.63,9563.73
90,2017-07-03,1,703.36,2429.01,7437.98,21479.27,9639.63
91,2017-07-04,0,703.36,2429.01,7437.98,21479.27,9639.63
92,2017-07-05,1,700.94,2432.54,7435.08,21478.17,9645.91
93,2017-07-06,1,700.44,2409.75,7388.43,21320.04,9576.16
94,2017-07-07,1,702.04,2425.18,7435.24,21414.34,9694.94
95,2017-07-08,0,702.04,2425.18,7435.24,21414.34,9694.94
96,2017-07-09,0,702.04,2425.18,7435.24,21414.34,9694.94
97,2017-07-10,1,701.43,2427.43,7428.48,21408.52,9673.8
98,2017-07-11,1,701.24,2425.53,7412.07,21409.07,9599.43
99,2017-07-12,1,705.49,2443.25,7468.48,21532.14,9716.32
100,2017-07-13,1,703.35,2447.83,7466.11,21553.09,9703.23
101,2017-07-14,1,707.35,2459.27,7497.81,21637.74,9742.76
102,2017-07-15,0,707.35,2459.27,7497.81,21637.74,9742.76
103,2017-07-16,0,707.35,2459.27,7497.81,21637.74,9742.76
104,2017-07-17,1,710.11,2459.14,7491.19,21629.72,9698.2
105,2017-07-18,1,711.78,2460.61,7469.15,21574.73,9633.05
106,2017-07-19,1,714.71,2473.83,7474.37,21640.75,9575.73
107,2017-07-20,1,719.81,2473.45,7457.13,21611.78,9483.09
108,2017-07-21,1,725.48,2472.54,7457.91,21580.07,9471.27
109,2017-07-22,0,725.48,2472.54,7457.91,21580.07,9471.27
110,2017-07-23,0,725.48,2472.54,7457.91,21580.07,9471.27
111,2017-07-24,1,719.02,2469.91,7424.75,21513.17,9428.2
112,2017-07-25,1,715.86,2477.13,7452.22,21613.43,9489.48
113,2017-07-26,1,722.59,2477.83,7481.23,21711.01,9484.12
114,2017-07-27,1,723.65,2475.42,7435.44,21796.55,9189.61
115,2017-07-28,1,724.06,2472.1,7450.83,21830.31,9227.07
116,2017-07-29,0,724.06,2472.1,7450.83,21830.31,9227.07
117,2017-07-30,0,724.06,2472.1,7450.83,21830.31,9227.07
118,2017-07-31,1,726.48,2470.3,7457.01,21891.12,9182.78
119,2017-08-01,1,728.85,2476.35,7467.02,21963.92,9145.75
120,2017-08-02,1,731.93,2477.57,7488.68,22016.24,9174.99
121,2017-08-03,1,734.11,2472.16,7500.22,22026.1,9202.4
122,2017-08-04,1,731.87,2476.83,7525.77,22092.81,9277.63
123,2017-08-05,0,731.87,2476.83,7525.77,22092.81,9277.63
124,2017-08-06,0,731.87,2476.83,7525.77,22092.81,9277.63
125,2017-08-07,1,733.59,2480.91,7535.14,22118.42,9284.66
126,2017-08-08,1,735.68,2474.92,7520.96,22085.34,9232.85
127,2017-08-09,1,732.89,2474.02,7509.73,22048.7,9235.41
128,2017-08-10,1,734.65,2438.21,7447.86,21844.01,9119.74
129,2017-08-11,1,730.45,2441.32,7460.86,21858.32,9199.05
130,2017-08-12,0,730.45,2441.32,7460.86,21858.32,9199.05
131,2017-08-13,0,730.45,2441.32,7460.86,21858.32,9199.05
132,2017-08-14,1,734.26,2465.84,7525.8,21993.71,9347.55
133,2017-08-15,1,737.55,2464.61,7537.46,21998.99,9371.07
134,2017-08-16,1,739.62,2468.11,7547.29,22024.87,9377.22
135,2017-08-17,1,734.42,2430.01,7436.53,21750.73,9152.45
136,2017-08-18,1,738.38,2425.55,7415.96,21674.51,9095.31
137,2017-08-19,0,738.38,2425.55,7415.96,21674.51,9095.31
138,2017-08-20,0,738.38,2425.55,7415.96,21674.51,9095.31
139,2017-08-21,1,741.41,2428.37,7432.5,21703.75,9121.93
140,2017-08-22,1,743.18,2452.51,7490.65,21899.89,9200.94
141,2017-08-23,1,744.0,2444.04,7450.06,21812.09,9086.3
142,2017-08-24,1,743.25,2438.97,7429.05,21783.4,9021.12
143,2017-08-25,1,746.48,2443.05,7464.85,21813.67,9133.75
144,2017-08-26,0,746.48,2443.05,7464.85,21813.67,9133.75
145,2017-08-27,0,746.48,2443.05,7464.85,21813.67,9133.75
146,2017-08-28,1,748.16,2444.24,7471.69,21808.4,9156.96
147,2017-08-29,1,746.47,2446.3,7497.37,21865.37,9237.18
148,2017-08-30,1,743.16,2457.59,7512.88,21892.43,9309.79
149,2017-08-31,1,743.24,2471.65,7525.81,21948.1,9319.05
150,2017-09-01,1,740.95,2476.55,7537.65,21987.56,9356.02
151,2017-09-02,0,740.95,2476.55,7537.65,21987.56,9356.02
152,2017-09-03,0,740.95,2476.55,7537.65,21987.56,9356.02
153,2017-09-04,0,740.95,2476.55,7537.65,21987.56,9356.02
154,2017-09-05,1,742.81,2457.85,7476.16,21753.31,9267.39
155,2017-09-06,1,738.5,2465.54,7488.76,21807.64,9310.15
