,Date,Stock Price,Stock Price Present
0,2017-03-08,81.03,1
1,2017-03-09,81.67,1
2,2017-03-10,81.61,1
3,2017-03-11,81.61,0
4,2017-03-12,81.61,0
5,2017-03-13,81.42,1
6,2017-03-14,80.99,1
7,2017-03-15,82.0,1
8,2017-03-16,82.07,1
9,2017-03-17,82.0,1
10,2017-03-18,82.0,0
11,2017-03-19,82.0,0
12,2017-03-20,82.0,1
13,2017-03-21,81.83,1
14,2017-03-22,81.76,1
15,2017-03-23,81.86,1
16,2017-03-24,81.23,1
17,2017-03-25,81.23,0
18,2017-03-26,81.23,0
19,2017-03-27,81.25,1
20,2017-03-28,81.84,1
21,2017-03-29,82.02,1
22,2017-03-30,83.7,1
23,2017-03-31,82.01,1
24,2017-04-01,82.01,0
25,2017-04-02,82.01,0
26,2017-04-03,82.07,1
27,2017-04-04,82.37,1
28,2017-04-05,82.53,1
29,2017-04-06,83.01,1
30,2017-04-07,82.76,1
31,2017-04-08,82.76,0
32,2017-04-09,82.76,0
33,2017-04-10,83.13,1
34,2017-04-11,82.84,1
35,2017-04-12,82.97,1
36,2017-04-13,81.69,1
37,2017-04-14,81.69,0
38,2017-04-15,81.69,0
39,2017-04-16,81.69,0
40,2017-04-17,81.58,1
41,2017-04-18,81.05,1
42,2017-04-19,80.49,1
43,2017-04-20,81.01,1
44,2017-04-21,80.69,1
45,2017-04-22,80.69,0
46,2017-04-23,80.69,0
47,2017-04-24,81.11,1
48,2017-04-25,81.73,1
49,2017-04-26,81.4,1
50,2017-04-27,81.26,1
51,2017-04-28,81.65,1
52,2017-04-29,81.65,0
53,2017-04-30,81.65,0
54,2017-05-01,82.06,1
55,2017-05-02,82.05,1
56,2017-05-03,82.7,1
57,2017-05-04,81.64,1
58,2017-05-05,82.02,1
59,2017-05-06,82.02,0
60,2017-05-07,82.02,0
61,2017-05-08,82.89,1
62,2017-05-09,82.31,1
63,2017-05-10,81.91,1
64,2017-05-11,82.61,1
65,2017-05-12,82.55,1
66,2017-05-13,82.55,0
67,2017-05-14,82.55,0
68,2017-05-15,82.8,1
69,2017-05-16,82.55,1
70,2017-05-17,81.99,1
71,2017-05-18,81.75,1
72,2017-05-19,81.93,1
73,2017-05-20,81.93,0
74,2017-05-21,81.93,0
75,2017-05-22,82.29,1
76,2017-05-23,82.58,1
77,2017-05-24,82.29,1
78,2017-05-25,81.75,1
79,2017-05-26,81.55,1
80,2017-05-27,81.55,0
81,2017-05-28,81.55,0
82,2017-05-29,81.55,0
83,2017-05-30,81.1,1
84,2017-05-31,80.5,1
85,2017-06-01,80.7,1
86,2017-06-02,79.5,1
87,2017-06-03,79.5,0
88,2017-06-04,79.5,0
89,2017-06-05,80.12,1
90,2017-06-06,81.21,1
91,2017-06-07,80.91,1
92,2017-06-08,80.62,1
93,2017-06-09,82.13,1
94,2017-06-10,82.13,0
95,2017-06-11,82.13,0
96,2017-06-12,82.93,1
97,2017-06-13,82.96,1
98,2017-06-14,82.07,1
99,2017-06-15,82.26,1
100,2017-06-16,83.49,1
101,2017-06-17,83.49,0
102,2017-06-18,83.49,0
103,2017-06-19,82.76,1
104,2017-06-20,82.31,1
105,2017-06-21,81.44,1
106,2017-06-22,81.08,1
107,2017-06-23,81.61,1
108,2017-06-24,81.61,0
109,2017-06-25,81.61,0
110,2017-06-26,81.24,1
111,2017-06-27,81.11,1
112,2017-06-28,81.53,1
113,2017-06-29,80.7,1
114,2017-06-30,80.73,1
115,2017-07-01,80.73,0
116,2017-07-02,80.73,0
117,2017-07-03,82.1,1
118,2017-07-04,82.1,0
119,2017-07-05,80.85,1
120,2017-07-06,80.12,1
121,2017-07-07,80.22,1
122,2017-07-08,80.22,0
123,2017-07-09,80.22,0
124,2017-07-10,80.16,1
125,2017-07-11,80.6,1
126,2017-07-12,80.96,1
127,2017-07-13,80.97,1
128,2017-07-14,81.28,1
129,2017-07-15,81.28,0
130,2017-07-16,81.28,0
131,2017-07-17,80.86,1
132,2017-07-18,80.6,1
133,2017-07-19,80.85,1
134,2017-07-20,80.86,1
135,2017-07-21,80.12,1
136,2017-07-22,80.12,0
137,2017-07-23,80.12,0
138,2017-07-24,79.87,1
139,2017-07-25,80.27,1
140,2017-07-26,80.37,1
141,2017-07-27,80.83,1
142,2017-07-28,79.6,1
143,2017-07-29,79.6,0
144,2017-07-30,79.6,0
145,2017-07-31,80.04,1
146,2017-08-01,80.17,1
147,2017-08-02,80.6,1
148,2017-08-03,80.49,1
149,2017-08-04,80.21,1
150,2017-08-05,80.21,0
151,2017-08-06,80.21,0
152,2017-08-07,80.16,1
153,2017-08-08,79.96,1
154,2017-08-09,80.21,1
155,2017-08-10,78.97,1
156,2017-08-11,78.21,1
157,2017-08-12,78.21,0
158,2017-08-13,78.21,0
159,2017-08-14,78.23,1
160,2017-08-15,78.04,1
161,2017-08-16,77.47,1
162,2017-08-17,76.26,1
163,2017-08-18,76.64,1
164,2017-08-19,76.64,0
165,2017-08-20,76.64,0
166,2017-08-21,76.38,1
167,2017-08-22,76.74,1
168,2017-08-23,76.61,1
169,2017-08-24,76.33,1
170,2017-08-25,76.72,1
171,2017-08-26,76.72,0
172,2017-08-27,76.72,0
173,2017-08-28,76.47,1
174,2017-08-29,76.45,1
175,2017-08-30,76.1,1
176,2017-08-31,76.33,1
177,2017-09-01,76.57,1
178,2017-09-02,76.57,0
179,2017-09-03,76.57,0
180,2017-09-04,76.57,0
181,2017-09-05,77.18,1
182,2017-09-06,78.78,1
183,2017-09-07,79.03,1
184,2017-09-08,78.82,1
185,2017-09-09,78.82,0
186,2017-09-10,78.82,0
187,2017-09-11,79.25,1
188,2017-09-12,79.5,1
189,2017-09-13,79.77,1
190,2017-09-14,80.09,1
191,2017-09-15,80.07,1
192,2017-09-16,80.07,0
193,2017-09-17,80.07,0
194,2017-09-18,80.09,1
195,2017-09-19,80.22,1
196,2017-09-20,80.55,1
197,2017-09-21,79.89,1
198,2017-09-22,79.92,1
199,2017-09-23,79.92,0
200,2017-09-24,79.92,0
201,2017-09-25,80.98,1
202,2017-09-26,80.89,1
203,2017-09-27,81.43,1
204,2017-09-28,82.19,1
205,2017-09-29,81.98,1
206,2017-09-30,81.98,0
