Date,target,predicted
2017-03-08,81.03,81.23329999999993
2017-03-09,81.67,81.58669999999998
2017-03-10,81.61,81.57519999999988
2017-03-11,81.61,81.59919999999987
2017-03-12,81.61,81.55769999999988
2017-03-13,81.42,81.37089999999998
2017-03-14,80.99,81.33489999999989
2017-03-15,82.0,81.95629999999997
2017-03-16,82.07,82.04759999999992
2017-03-17,82.0,82.00909999999998
2017-03-18,82.0,81.98459999999999
2017-03-19,82.0,81.98459999999999
2017-03-20,82.0,81.95739999999999
2017-03-21,81.83,81.8101
2017-03-22,81.76,81.76970000000004
2017-03-23,81.86,81.72459999999987
2017-03-24,81.23,81.32849999999985
2017-03-25,81.23,81.2427999999998
2017-03-26,81.23,81.25879999999985
2017-03-27,81.25,81.4026
2017-03-28,81.84,81.8893000000001
2017-03-29,82.02,82.35920000000011
2017-03-30,83.7,83.07189999999999
2017-03-31,82.01,82.46390000000008
2017-04-01,82.01,82.04660000000013
2017-04-02,82.01,82.0544000000001
2017-04-03,82.07,82.18399999999991
2017-04-04,82.37,82.38839999999993
2017-04-05,82.53,82.64040000000001
2017-04-06,83.01,82.88820000000013
2017-04-07,82.76,82.82610000000015
2017-04-08,82.76,82.74960000000016
2017-04-09,82.76,82.79110000000013
2017-04-10,83.13,83.02460000000008
2017-04-11,82.84,82.84870000000006
2017-04-12,82.97,82.50669999999998
2017-04-13,81.69,81.75949999999987
2017-04-14,81.69,81.70749999999983
2017-04-15,81.69,81.67239999999983
2017-04-16,81.69,81.63089999999985
2017-04-17,81.58,81.40829999999997
2017-04-18,81.05,80.92940000000003
2017-04-19,80.49,80.64519999999992
2017-04-20,81.01,80.86880000000002
2017-04-21,80.69,80.73819999999988
2017-04-22,80.69,80.74039999999982
2017-04-23,80.69,80.81129999999982
2017-04-24,81.11,81.22349999999985
2017-04-25,81.73,81.59269999999981
2017-04-26,81.4,81.44349999999987
2017-04-27,81.26,81.40620000000001
2017-04-28,81.65,81.57249999999993
2017-04-29,81.65,81.63579999999988
2017-04-30,81.65,81.63579999999988
2017-05-01,82.06,82.08160000000015
2017-05-02,82.05,82.19300000000007
2017-05-03,82.7,82.36069999999997
2017-05-04,81.64,81.83050000000014
2017-05-05,82.02,81.99630000000018
2017-05-06,82.02,82.0731875000002
2017-05-07,82.02,82.25878750000018
2017-05-08,82.89,82.69320000000015
2017-05-09,82.31,82.25350000000007
2017-05-10,81.91,82.1876999999999
2017-05-11,82.61,82.52599999999991
2017-05-12,82.55,82.54740000000007
2017-05-13,82.55,82.52290000000013
2017-05-14,82.55,82.55020000000013
2017-05-15,82.8,82.6740000000001
2017-05-16,82.55,82.42600000000007
2017-05-17,81.99,81.9652999999999
